dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,TextEnd.started,key_instruct_3.started,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
3,PPS,S,n,n,0,0,0,0,0,0,0,0,a,b,yellow,blue,12.220388200017624,12.220388200017624,12.220388200017624,0.04337950004264712,2,138.74252319999505,140.82539360004012,35,PPS,y,stim_35_y_u.jpg,test,140.82539360004012,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,y,n,0,0,0,0,0,1,1,1,a,,yellow,,,,,,2,143.26502869999968,145.30164990003686,25,PPS,y,stim_25_y_u.jpg,filler,145.30164990003686,None,147.77446770004462,147.77446770004462,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,0,0,0,0,0,2,2,2,a,,yellow,,,,,,2,148.9766497000819,151.02247249998618,25,PPS,y,stim_25_y_u.jpg,test,151.02247249998618,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,0,0,0,0,0,3,3,3,a,,yellow,,,,,,6,153.50605080008972,159.55239149997942,75,EPS,y,stim_75_y_u.jpg,test,159.55239149997942,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,0,0,0,0,0,4,4,4,a,,yellow,,,,,,6,162.0315263000084,168.07331860007253,25,PPS,b,stim_25_b_u.jpg,test,168.07331860007253,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,0,0,0,0,0,5,5,5,a,,yellow,,,,,,2,170.55647180008236,172.6021066000685,25,PPS,b,stim_25_b_u.jpg,test,172.6021066000685,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,0,0,0,0,0,6,6,6,a,,yellow,,,,,,4,175.08946480008308,179.1318000999745,25,PPS,y,stim_25_y_u.jpg,test,179.1318000999745,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,0,0,0,0,0,7,7,7,a,,yellow,,,,,,2,181.61264080007095,183.65922360005789,75,EPS,b,stim_75_b_u.jpg,test,183.65922360005789,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,BOUND,O,n,n,0,0,0,0,0,8,8,8,a,,yellow,,,,,,2,186.14184549998026,188.1868749000132,75,BOUND,b,stim_75_b_u.jpg,test,188.1868749000132,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,0,0,0,0,0,9,9,9,a,,yellow,,,,,,12,190.67087899998296,202.7293402000796,25,PPS,y,stim_25_y_u.jpg,test,202.7293402000796,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,0,0,0,0,0,10,10,10,a,,yellow,,,,,,4,205.19014120008796,209.23634790000506,25,PPS,b,stim_25_b_u.jpg,test,209.23634790000506,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,BOUND,S,y,n,0,0,0,0,0,11,11,11,a,,yellow,,,,,,2,211.71693640004378,213.76430430007167,25,BOUND,y,stim_25_y_u.jpg,filler,213.76430430007167,None,216.24349760008045,216.24349760008045,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,BOUND,S,n,n,0,0,0,0,0,12,12,12,a,,yellow,,,,,,2,217.4454145000782,219.49674530001357,25,BOUND,y,stim_25_y_u.jpg,test,219.49674530001357,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,0,0,0,0,0,13,13,13,a,,yellow,,,,,,4,221.97504940000363,226.02509420004208,25,PPS,b,stim_25_b_u.jpg,test,226.02509420004208,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,0,0,0,0,0,14,14,14,a,,yellow,,,,,,2,228.50278720003553,230.5508013999788,75,EPS,b,stim_75_b_u.jpg,test,230.5508013999788,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,0,0,0,0,0,15,15,15,a,,yellow,,,,,,6,233.03081939998083,239.0730755000841,75,EPS,y,stim_75_y_u.jpg,test,239.0730755000841,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,0,0,0,0,0,16,16,16,a,,yellow,,,,,,2,241.55650599999353,243.6037894000765,25,PPS,y,stim_25_y_u.jpg,test,243.6037894000765,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,0,0,0,0,0,17,17,17,a,,yellow,,,,,,4,246.0853494000621,250.13128540001344,75,EPS,y,stim_75_y_u.jpg,test,250.13128540001344,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,n,n,0,0,0,0,0,18,18,18,a,,yellow,,,,,,2,252.612709500012,254.6623341999948,30,PPS,b,stim_30_b_u.jpg,test,254.6623341999948,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,y,n,0,0,0,0,0,19,19,19,a,,yellow,,,,,,10,257.1411552000791,267.1856758000795,75,EPS,b,stim_75_b_u.jpg,filler,267.1856758000795,None,269.6601570000639,269.6601570000639,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,S,n,n,0,0,0,0,0,20,20,20,a,,yellow,,,,,,4,270.86235760001,274.91100349999033,30,PPS,y,stim_30_y_u.jpg,test,274.91100349999033,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,S,n,n,0,0,0,0,0,21,21,21,a,,yellow,,,,,,2,277.3891660000663,279.47202590003144,30,PPS,y,stim_30_y_u.jpg,test,279.47202590003144,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,n,n,0,0,0,0,0,22,22,22,a,,yellow,,,,,,8,281.91865060001146,289.9601566999918,30,PPS,b,stim_30_b_u.jpg,test,289.9601566999918,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,n,n,0,0,0,0,0,23,23,23,a,,yellow,,,,,,4,292.44245010009035,296.4897332000546,30,PPS,b,stim_30_b_u.jpg,test,296.4897332000546,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,0,0,0,0,0,24,24,24,a,,yellow,,,,,,10,298.9694224999985,309.0114244000288,75,EPS,b,stim_75_b_u.jpg,test,309.0114244000288,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,n,n,0,0,0,0,0,25,25,25,a,,yellow,,,,,,2,311.4905687000137,313.52220140001737,30,PPS,b,stim_30_b_u.jpg,test,313.52220140001737,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,0,0,0,0,0,26,26,26,a,,yellow,,,,,,4,316.00396410003304,320.05239269998856,75,EPS,b,stim_75_b_u.jpg,test,320.05239269998856,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,0,0,0,0,0,27,27,27,a,,yellow,,,,,,4,322.53115830000024,326.5791985000251,75,EPS,y,stim_75_y_u.jpg,test,326.5791985000251,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,0,0,0,0,0,28,28,28,a,,yellow,,,,,,4,329.05771520000417,333.1206488000462,80,EPS,y,stim_80_y_u.jpg,test,333.1206488000462,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,BOUND,O,n,n,0,0,0,0,0,29,29,29,a,,yellow,,,,,,2,335.58539949997794,337.6614988000365,80,BOUND,b,stim_80_b_u.jpg,test,337.6614988000365,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,0,0,0,0,0,30,30,30,a,,yellow,,,,,,4,340.114558900008,344.21851290005725,80,EPS,y,stim_80_y_u.jpg,test,344.21851290005725,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,0,0,0,0,0,31,31,31,a,,yellow,,,,,,2,346.64135990000796,348.695185800083,80,EPS,y,stim_80_y_u.jpg,test,348.695185800083,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
