dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,TextEnd.started,key_instruct_3.started,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
2,EPS,O,n,n,0,0,0,0,0,32,32,32,a,,yellow,,,,,,2,351.17251910001505,353.27964040008374,80,EPS,b,stim_80_b_u.jpg,test,353.27964040008374,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,O,n,n,0,0,0,0,0,33,33,33,a,,yellow,,,,,,2,355.69997960003093,357.7474586000899,80,EPS,b,stim_80_b_u.jpg,test,357.7474586000899,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,O,n,n,0,0,0,0,0,34,34,34,a,,yellow,,,,,,2,360.2285744000692,362.27565930003766,80,EPS,b,stim_80_b_u.jpg,test,362.27565930003766,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,O,n,n,0,0,0,0,0,35,35,35,a,,yellow,,,,,,10,364.7578467000276,374.7991343000904,80,EPS,b,stim_80_b_u.jpg,test,374.7991343000904,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,O,n,n,0,0,0,0,0,36,36,36,a,,yellow,,,,,,4,377.2794187000254,381.33331880008336,85,EPS,b,stim_85_b_u.jpg,test,381.33331880008336,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,0,0,0,0,0,37,37,37,a,,yellow,,,,,,2,383.80724880006164,385.8572721000528,80,EPS,y,stim_80_y_u.jpg,test,385.8572721000528,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,O,n,n,0,0,0,0,0,38,38,38,a,,yellow,,,,,,2,388.3362569999881,390.42720260005444,35,PPS,b,stim_35_b_u.jpg,test,390.42720260005444,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,O,n,n,0,0,0,0,0,39,39,39,a,,yellow,,,,,,4,392.86738790001255,396.9120876999805,35,PPS,b,stim_35_b_u.jpg,test,396.9120876999805,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,BOUND,O,y,n,0,0,0,0,0,40,40,40,a,,yellow,,,,,,2,399.3921261000214,401.42349610000383,35,BOUND,b,stim_35_b_u.jpg,filler,401.42349610000383,None,403.9015668000793,403.9015668000793,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,O,n,n,0,0,0,0,0,41,41,41,a,,yellow,,,,,,4,405.1035681000212,409.15232270001434,85,EPS,b,stim_85_b_u.jpg,test,409.15232270001434,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,O,n,n,0,0,0,0,0,42,42,42,a,,yellow,,,,,,4,411.63096820004284,415.72820380004123,85,EPS,b,stim_85_b_u.jpg,test,415.72820380004123,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,S,n,n,0,0,0,0,0,43,43,43,a,,yellow,,,,,,2,418.15802009997424,420.2065151000861,30,PPS,y,stim_30_y_u.jpg,test,420.2065151000861,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,S,n,n,0,0,0,0,0,44,44,44,a,,yellow,,,,,,2,422.6874523999868,424.7359825000167,30,PPS,y,stim_30_y_u.jpg,test,424.7359825000167,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,BOUND,S,n,n,0,0,0,0,0,45,45,45,a,,yellow,,,,,,6,427.21630470000673,433.30998770007864,30,BOUND,y,stim_30_y_u.jpg,test,433.30998770007864,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,S,n,n,0,0,0,0,0,46,46,46,a,,yellow,,,,,,2,435.7427769000642,437.83953940006904,85,EPS,y,stim_85_y_u.jpg,test,437.83953940006904,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,S,n,n,0,0,0,0,0,47,47,47,a,,yellow,,,,,,2,440.27155820000917,442.32026250008494,35,PPS,y,stim_35_y_u.jpg,test,442.32026250008494,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,y,n,0,0,0,0,0,48,48,48,a,,yellow,,,,,,4,444.7996304000262,448.88057879998814,30,PPS,b,stim_30_b_u.jpg,filler,448.88057879998814,None,451.3239790999796,451.3239790999796,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,S,n,n,0,0,0,0,0,49,49,49,a,,yellow,,,,,,2,452.52590250002686,454.57499530003406,35,PPS,y,stim_35_y_u.jpg,test,454.57499530003406,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,BOUND,O,n,n,0,0,0,0,0,50,50,50,a,,yellow,,,,,,2,457.05577480001375,459.09938080003485,35,BOUND,b,stim_35_b_u.jpg,test,459.09938080003485,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,S,n,n,0,0,0,0,0,51,51,51,a,,yellow,,,,,,6,461.5849285000004,467.67252690007444,35,PPS,y,stim_35_y_u.jpg,test,467.67252690007444,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,S,y,n,0,0,0,0,0,52,52,52,a,,yellow,,,,,,2,470.1101534999907,472.1622375000734,85,EPS,y,stim_85_y_u.jpg,filler,472.1622375000734,None,474.63541590003297,474.63541590003297,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,S,n,n,0,0,0,0,0,53,53,53,a,,yellow,,,,,,6,475.83783950004727,481.88502889999654,35,PPS,y,stim_35_y_u.jpg,test,481.88502889999654,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,S,n,n,0,0,0,0,0,54,54,54,a,,yellow,,,,,,4,484.3639535000548,488.4559283000417,85,EPS,y,stim_85_y_u.jpg,test,488.4559283000417,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,O,n,n,0,0,0,0,0,55,55,55,a,,yellow,,,,,,4,490.8911895999918,494.98921620007604,35,PPS,b,stim_35_b_u.jpg,test,494.98921620007604,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,BOUND,S,n,n,0,0,0,0,0,56,56,56,a,,yellow,,,,,,4,497.4174969000742,501.4645038000308,35,BOUND,y,stim_35_y_u.jpg,test,501.4645038000308,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,O,n,n,0,0,0,0,0,57,57,57,a,,yellow,,,,,,4,503.9451737999916,508.03630540007725,85,EPS,b,stim_85_b_u.jpg,test,508.03630540007725,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,S,n,n,0,0,0,0,0,58,58,58,a,,yellow,,,,,,2,510.471603800077,512.5269592000404,85,EPS,y,stim_85_y_u.jpg,test,512.5269592000404,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,EPS,S,n,n,0,0,0,0,0,59,59,59,a,,yellow,,,,,,2,515.0011457999935,517.0728641999885,85,EPS,y,stim_85_y_u.jpg,test,517.0728641999885,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,1,0,1,0,0,0,0,0,a,,yellow,,,,,,2,519.5295329000801,521.5602805999806,25,PPS,y,stim_25_y_u.jpg,test,521.5602805999806,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,1,0,1,0,0,1,1,1,a,,yellow,,,,,,2,524.0425214000279,526.0893768999958,25,PPS,y,stim_25_y_u.jpg,test,526.0893768999958,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,1,0,1,0,0,2,2,2,a,,yellow,,,,,,2,528.5717569000553,530.621632900089,75,EPS,b,stim_75_b_u.jpg,test,530.621632900089,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,1,0,1,0,0,3,3,3,a,,yellow,,,,,,6,533.1012931000441,539.145878600073,25,PPS,y,stim_25_y_u.jpg,test,539.145878600073,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,S,n,n,1,0,1,0,0,4,4,4,a,,yellow,,,,,,6,541.626634699991,547.6874535999959,25,PPS,y,stim_25_y_u.jpg,test,547.6874535999959,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,1,0,1,0,0,5,5,5,a,,yellow,,,,,,2,550.1513885000022,552.2204503000248,75,EPS,b,stim_75_b_u.jpg,test,552.2204503000248,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,1,0,1,0,0,6,6,6,a,,yellow,,,,,,4,554.6644943000283,558.7839117000112,75,EPS,y,stim_75_y_u.jpg,test,558.7839117000112,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,BOUND,S,y,n,1,0,1,0,0,7,7,7,a,,yellow,,,,,,2,561.1909903000342,563.2381252000341,75,BOUND,y,stim_75_y_u.jpg,filler,563.2381252000341,None,565.7174651999958,565.7174651999958,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,S,n,n,1,0,1,0,0,8,8,8,a,,yellow,,,,,,2,566.9190960000269,569.0126192000462,30,PPS,y,stim_30_y_u.jpg,test,569.0126192000462,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,1,0,1,0,0,9,9,9,a,,yellow,,,,,,12,571.4483709000051,583.5414092000574,75,EPS,b,stim_75_b_u.jpg,test,583.5414092000574,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,1,0,1,0,0,10,10,10,a,,yellow,,,,,,4,585.96849140001,590.0208965999773,25,PPS,b,stim_25_b_u.jpg,test,590.0208965999773,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,BOUND,S,n,n,1,0,1,0,0,11,11,11,a,,yellow,,,,,,2,592.49552830006,594.5837210000027,25,BOUND,y,stim_25_y_u.jpg,test,594.5837210000027,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,O,n,n,1,0,1,0,0,12,12,12,a,,yellow,,,,,,2,597.0254582000198,599.0805131000234,75,EPS,b,stim_75_b_u.jpg,test,599.0805131000234,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,1,0,1,0,0,13,13,13,a,,yellow,,,,,,4,601.5539498000871,605.6375999000156,75,EPS,y,stim_75_y_u.jpg,test,605.6375999000156,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,1,0,1,0,0,14,14,14,a,,yellow,,,,,,2,608.0814313000301,610.1272227000445,25,PPS,b,stim_25_b_u.jpg,test,610.1272227000445,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,1,0,1,0,0,15,15,15,a,,yellow,,,,,,6,612.6102922999999,618.6936978000449,75,EPS,y,stim_75_y_u.jpg,test,618.6936978000449,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,O,n,n,1,0,1,0,0,16,16,16,a,,yellow,,,,,,2,621.1354674000759,623.1818425999954,80,EPS,b,stim_80_b_u.jpg,test,623.1818425999954,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,1,0,1,0,0,17,17,17,a,,yellow,,,,,,4,625.6646015000297,629.7296795999864,25,PPS,b,stim_25_b_u.jpg,test,629.7296795999864,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,EPS,S,n,n,1,0,1,0,0,18,18,18,a,,yellow,,,,,,2,632.191591000068,634.2733967000386,75,EPS,y,stim_75_y_u.jpg,test,634.2733967000386,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
1,PPS,O,n,n,1,0,1,0,0,19,19,19,a,,yellow,,,,,,10,636.7208842000691,646.7961245999904,25,PPS,b,stim_25_b_u.jpg,test,646.7961245999904,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,O,n,n,1,0,1,0,0,20,20,20,a,,yellow,,,,,,4,649.2422902000835,653.2865549999988,80,EPS,b,stim_80_b_u.jpg,test,653.2865549999988,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,1,0,1,0,0,21,21,21,a,,yellow,,,,,,2,655.769409700064,657.8656288000057,80,EPS,y,stim_80_y_u.jpg,test,657.8656288000057,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,1,0,1,0,0,22,22,22,a,,yellow,,,,,,8,660.2984108000528,668.3632596000098,80,EPS,y,stim_80_y_u.jpg,test,668.3632596000098,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,S,n,n,1,0,1,0,0,23,23,23,a,,yellow,,,,,,4,670.8223150999984,674.8715843000682,30,PPS,y,stim_30_y_u.jpg,test,674.8715843000682,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,y,n,1,0,1,0,0,24,24,24,a,,yellow,,,,,,10,677.3499385999748,687.435163600021,30,PPS,b,stim_30_b_u.jpg,filler,687.435163600021,None,689.8680158000207,689.8680158000207,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,1,0,1,0,0,25,25,25,a,,yellow,,,,,,2,691.0696478000609,693.1284986999817,80,EPS,y,stim_80_y_u.jpg,test,693.1284986999817,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,S,n,n,1,0,1,0,0,26,26,26,a,,yellow,,,,,,4,695.5987104000524,699.7002007000847,30,PPS,y,stim_30_y_u.jpg,test,699.7002007000847,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,n,n,1,0,1,0,0,27,27,27,a,,yellow,,,,,,4,702.1269710999914,706.228373000049,30,PPS,b,stim_30_b_u.jpg,test,706.228373000049,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,EPS,S,n,n,1,0,1,0,0,28,28,28,a,,yellow,,,,,,4,708.653479599976,712.706582600018,80,EPS,y,stim_80_y_u.jpg,test,712.706582600018,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,BOUND,O,n,n,1,0,1,0,0,29,29,29,a,,yellow,,,,,,2,715.181266300031,717.2267438999843,80,BOUND,b,stim_80_b_u.jpg,test,717.2267438999843,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
3,PPS,S,y,n,1,0,1,0,0,30,30,30,a,,yellow,,,,,,4,719.7095851000631,723.7581791999983,35,PPS,y,stim_35_y_u.jpg,filler,723.7581791999983,None,726.2342209999915,726.2342209999915,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
2,PPS,O,n,n,1,0,1,0,0,31,31,31,a,,yellow,,,,,,2,727.4360122000799,729.5054974000668,30,PPS,b,stim_30_b_u.jpg,test,729.5054974000668,None,,,,,F0101,yellow,a,50,2023-09-26_17h39.06.230,Ownership,2023.1.2,59.96925976074086,
