dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,key_resp.rt,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
2,PPS,S,n,n,0,0,0,0,0,20,20,20,a,,yellow,,,,,,4,201.31013240000175,205.40005810000002,30,PPS,y,stim_30_y_u.jpg,test,205.40005810000002,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,S,n,n,0,0,0,0,0,21,21,21,a,,yellow,,,,,,2,207.83722580000176,209.9161626999994,30,PPS,y,stim_30_y_u.jpg,test,209.9161626999994,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,O,n,n,0,0,0,0,0,22,22,22,a,,yellow,,,,,,8,212.3660721999986,220.43400629999815,30,PPS,b,stim_30_b_u.jpg,test,220.43400629999815,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,O,n,n,0,0,0,0,0,23,23,23,a,,yellow,,,,,,4,222.8899919999967,226.95894150000095,30,PPS,b,stim_30_b_u.jpg,test,226.95894150000095,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,0,0,0,0,0,24,24,24,a,,yellow,,,,,,10,229.4178432999979,239.50006030000077,75,EPS,b,stim_75_b_u.jpg,test,239.50006030000077,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,O,n,n,0,0,0,0,0,25,25,25,a,,yellow,,,,,,2,241.9392927000008,244.00839819999965,30,PPS,b,stim_30_b_u.jpg,test,244.00839819999965,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,0,0,0,0,0,26,26,26,a,,yellow,,,,,,4,246.46820299999672,250.53267259999848,75,EPS,b,stim_75_b_u.jpg,test,250.53267259999848,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,0,0,0,0,0,27,27,27,a,,yellow,,,,,,4,252.99518730000273,257.0594654000015,75,EPS,y,stim_75_y_u.jpg,test,257.0594654000015,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,S,n,n,0,0,0,0,0,28,28,28,a,,yellow,,,,,,4,259.522664899996,263.59896090000257,80,EPS,y,stim_80_y_u.jpg,test,263.59896090000257,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,BOUND,O,n,n,0,0,0,0,0,29,29,29,a,,yellow,,,,,,2,266.05002460000105,268.12305200000264,80,BOUND,b,stim_80_b_u.jpg,test,268.12305200000264,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,S,n,n,0,0,0,0,0,30,30,30,a,,yellow,,,,,,4,270.57896020000044,274.6625206000026,80,EPS,y,stim_80_y_u.jpg,test,274.6625206000026,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,S,n,n,0,0,0,0,0,31,31,31,a,,yellow,,,,,,2,277.1070639000027,279.17673680000007,80,EPS,y,stim_80_y_u.jpg,test,279.17673680000007,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,O,n,n,0,0,0,0,0,32,32,32,a,,yellow,,,,,,2,281.6351145000008,283.7013131999993,80,EPS,b,stim_80_b_u.jpg,test,283.7013131999993,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,O,n,n,0,0,0,0,0,33,33,33,a,,yellow,,,,,,2,286.14779190000263,288.2181694000028,80,EPS,b,stim_80_b_u.jpg,test,288.2181694000028,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,O,n,n,0,0,0,0,0,34,34,34,a,,yellow,,,,,,2,290.67691729999933,292.75608929999726,80,EPS,b,stim_80_b_u.jpg,test,292.75608929999726,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,O,n,n,0,0,0,0,0,35,35,35,a,,yellow,,,,,,10,295.20628320000105,305.26525709999987,80,EPS,b,stim_80_b_u.jpg,test,305.26525709999987,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,EPS,O,n,n,0,0,0,0,0,36,36,36,a,,yellow,,,,,,4,307.7277445,311.797940299999,85,EPS,b,stim_85_b_u.jpg,test,311.797940299999,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,EPS,S,n,n,0,0,0,0,0,37,37,37,a,,yellow,,,,,,2,314.25507469999866,316.33012040000176,80,EPS,y,stim_80_y_u.jpg,test,316.33012040000176,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
