dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,TextEnd.started,key_instruct_3.started,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
2,PPS,S,n,n,0,0,0,0,0,20,20,20,b,,blue,,,,,,4,170.65406559999974,174.7063096999991,30,PPS,b,stim_30_b_u.jpg,test,174.7063096999991,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,PPS,S,n,n,0,0,0,0,0,21,21,21,b,,blue,,,,,,2,177.1818882999978,179.2245387999974,30,PPS,b,stim_30_b_u.jpg,test,179.2245387999974,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,PPS,O,n,n,0,0,0,0,0,22,22,22,b,,blue,,,,,,8,181.7104709999985,189.75927859999865,30,PPS,y,stim_30_y_u.jpg,test,189.75927859999865,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,PPS,O,n,n,0,0,0,0,0,23,23,23,b,,blue,,,,,,4,192.23371889999908,196.272179399999,30,PPS,y,stim_30_y_u.jpg,test,196.272179399999,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
1,EPS,O,n,n,0,0,0,0,0,24,24,24,b,,blue,,,,,,10,198.76104999999734,208.80754719999823,75,EPS,y,stim_75_y_u.jpg,test,208.80754719999823,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,PPS,O,n,n,0,0,0,0,0,25,25,25,b,,blue,,,,,,2,211.28268869999738,213.32147479999912,30,PPS,y,stim_30_y_u.jpg,test,213.32147479999912,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
1,EPS,O,n,n,0,0,0,0,0,26,26,26,b,,blue,,,,,,4,215.81282920000012,219.8575208000002,75,EPS,y,stim_75_y_u.jpg,test,219.8575208000002,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
1,EPS,S,n,n,0,0,0,0,0,27,27,27,b,,blue,,,,,,4,222.33903439999995,226.41012319999936,75,EPS,b,stim_75_b_u.jpg,test,226.41012319999936,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
2,EPS,S,n,n,0,0,0,0,0,28,28,28,b,,blue,,,,,,4,228.86645839999983,232.91222809999817,80,EPS,b,stim_80_b_u.jpg,test,232.91222809999817,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
3,BOUND,O,n,n,0,0,0,0,0,29,29,29,b,,blue,,,,,,2,235.39377319999767,237.4377085999986,80,BOUND,y,stim_80_y_u.jpg,test,237.4377085999986,None,,,,,F0101,blue,b,50,2023-09-28_15h30.58.184,Ownership,2023.1.2,60.05064671484583,
